//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//ProductID	ProductNumber	ItemGroup	ItemIndex	Price	Durability	UseTime	80	Level	Skill	Luck	Option	ExOpt	AncOp	Comment
1130	1130	13	65	100	0	1440	80	0	0	0	0	0	0	// Spirit of Guardian (1 Days)
1130	1131	13	65	500	0	10080	80	0	0	0	0	0	0	// Spirit of Guardian (7 Days)
1130	1132	13	65	1400	0	43200	80	0	0	0	0	0	0	// Spirit of Guardian (30 Days)
1140	1140	13	61	100	0	0	80	0	0	0	0	0	0	// Illusion Temple Ticket (1 UN)
1150	1150	13	61	100	0	0	80	0	0	0	0	0	0	// Illusion Temple Ticket (10 UN)
1160	1160	13	43	200	0	1440	80	0	0	0	0	0	0	// Seal of Ascension (1 Days)
1160	1161	13	43	1050	0	10080	80	0	0	0	0	0	0	// Seal of Ascension (7 Days)
1160	1162	13	43	2450	0	43200	80	0	0	0	0	0	0	// Seal of Ascension (30 Days)
1170	1170	13	44	250	0	1440	80	0	0	0	0	0	0	// Seal of Wealth (1 Days)
1170	1171	13	44	1250	0	10080	80	0	0	0	0	0	0	// Seal of Wealth (7 Days)
1170	1172	13	44	2750	0	43200	80	0	0	0	0	0	0	// Seal of Wealth (30 Days)
1180	1180	13	63	100	0	1440	80	2	0	0	0	0	0	// Seal of Divinity (1 Days)
1180	1181	13	63	450	0	10080	80	0	0	0	0	0	0	// Seal of Divinity (7 Days)
1180	1182	13	63	1250	0	43200	80	0	0	0	0	0	0	// Seal of Divinity (30 Days)
1190	1190	13	76	200	0	1440	80	0	0	0	0	0	0	// Panda Ring (1 Days)
1190	1191	13	76	1000	0	10080	80	0	0	0	0	0	0	// Panda Ring (7 Days)
1190	1192	13	76	2150	0	43200	80	0	0	0	0	0	0	// Panda Ring (30 Days)
1200	1200	13	122	200	0	1440	80	0	0	0	0	0	0	// Skeleton Transformation Ring (1 Days)
1200	1201	13	122	1000	0	10080	80	0	0	0	0	0	0	// Skeleton Transformation Ring (7 Days)
1200	1202	13	122	2150	0	43200	80	0	0	0	0	0	0	// Skeleton Transformation Ring (30 Days)
1210	1210	13	80	250	0	1440	80	0	0	0	0	0	0	// Pet Panda (1 Days)
1210	1211	13	80	1150	0	10080	80	0	0	0	0	0	0	// Pet Panda (7 Days)
1210	1212	13	80	2150	0	43200	80	0	0	0	0	0	0	// Pet Panda (30 Days)
1220	1220	13	123	250	0	1440	80	0	0	0	0	0	0	// Pet Skeleton (1 Days)
1220	1221	13	123	1150	0	10080	80	0	0	0	0	0	0	// Pet Skeleton (7 Days)
1220	1222	13	123	2150	0	43200	80	0	0	0	0	0	0	// Pet Skeleton (30 Days)
1230	1230	13	64	100	0	1440	80	0	0	0	0	0	0	// Demon (1 Days)
1230	1231	13	64	500	0	10080	80	0	0	0	0	0	0	// Demon (7 Days)
1230	1232	13	64	1400	0	43200	80	0	0	0	0	0	0	// Demon (30 Days)
1240	1240	13	65	100	0	1440	80	0	0	0	0	0	0	// Spirit of Guardian (1 Days)
1240	1241	13	65	500	0	10080	80	0	0	0	0	0	0	// Spirit of Guardian (7 Days)
1240	1242	13	65	1400	0	43200	80	0	0	0	0	0	0	// Spirit of Guardian (30 Days)
1250	1250	13	46	100	0	0	80	0	0	0	0	0	0	// Devil Square Ticket (1 UN)
1260	1260	13	46	900	0	0	80	0	0	0	0	0	0	// Devil Square Ticket (10 UN)
1270	1270	13	47	100	0	0	80	0	0	0	0	0	0	// Blood Castle Ticket (1 UN)
1280	1280	13	47	900	0	0	80	0	0	0	0	0	0	// Blood Castle Ticket (10 UN)
1290	1290	13	48	900	0	0	80	0	0	0	0	0	0	// Kalima Ticket (10 UN)
1300	1300	13	61	100	0	0	80	0	0	0	0	0	0	// Illusion Temple Ticket (1 UN)
1310	1310	13	61	100	0	0	80	0	0	0	0	0	0	// Illusion Temple Ticket (10 UN)
1320	1320	14	13	5	0	0	80	0	0	0	0	0	0	// Jewel of Bless (1 UN)
1330	1330	14	14	5	0	0	80	0	0	0	0	0	0	// Jewel of Soul (1 UN)
1340	1340	14	16	5	0	0	80	0	0	0	0	0	0	// Jewel of Life (1 UN)
1350	1350	14	13	50	0	0	80	0	0	0	0	0	0	// Jewel of Bless (10 UN)
1360	1360	14	14	50	0	0	80	0	0	0	0	0	0	// Jewel of Soul (10 UN)
1370	1370	14	16	50	0	0	80	0	0	0	0	0	0	// Jewel of Life (10 UN)
