//index text 
146 "You need to improve more"
147 "You need to improve more"
148 "You need to improve more"
149 "You need to improve more"
150 "You need to improve more"
151 "Miss MIss , Come back later"
152 "Miss MIss , Come back later"
153 "Miss MIss , Come back later"
154 "Miss MIss , Come back later"
155 "Miss MIss , Come back later"
156 "Miss MIss , Come back later"
157 "Miss MIss , Come back later"
158 "Miss MIss , Come back later"
159 "Miss MIss , Come back later"
160 "Miss MIss , Come back later"
161 "Miss MIss , Come back later"
162 "Miss MIss , Come back later"
163 "Miss MIss , Come back later"
164 "Miss MIss , Come back later"
165 "Miss MIss , Come back later"
166 "Miss MIss , Come back later"
167 "Miss MIss , Come back later"
168 "Miss MIss , Come back later"
169 "Miss MIss , Come back later"
170 "Miss MIss , Come back later"
171 "Miss MIss , Come back later"
172 "Miss MIss , Come back later"
173 "Miss MIss , Come back later"
174 "Miss MIss , Come back later"
175 "Miss MIss , Come back later"
176 "Miss MIss , Come back later"
177 "Miss MIss , Come back later"
178 "Miss MIss , Come back later"
179 "Miss MIss , Come back later"
180 "Miss MIss , Come back later"
181 "Miss MIss , Come back later"
182 "Miss MIss , Come back later"
183 "Miss MIss , Come back later"
184 "Miss MIss , Come back later"
185 "Miss MIss , Come back later"
186 "Miss MIss , Come back later"
187 "Miss MIss , Come back later"
188 "Miss MIss , Come back later"
189 "Miss MIss , Come back later"
190 "Miss MIss , Come back later"
191 "I am the master and ruler"
192 "I am the master and ruler"
193 "I am the master and ruler"
194 "I am the master and ruler"
195 "I am the master and ruler"
196 "I am the master and ruler"
197 "I am the master and ruler"
198 "I am the master and ruler"
199 "I am the master and ruler"
200 "I am the master and ruler"
201 "Now you will have a lesson"
202 "Now you will have a lesson"
203 "Now you will have a lesson"
204 "Now you will have a lesson"
205 "Now you will have a lesson"
206 "Now you will have a lesson"
207 "Now you will have a lesson"
208 "Now you will have a lesson"
209 "Now you will have a lesson"
210 "Now you will have a lesson"
211 "Now you will have a lesson"
212 "Now you will have a lesson"
213 "Now you will have a lesson"
214 "Now you will have a lesson"
215 "Now you will have a lesson"
216 "Now you will have a lesson"
217 "Now you will have a lesson"
218 "You need to improve more"
219 "You need to improve more"
220 "You need to improve more"
221 "You need to improve more"
222 "You need to improve more"
223 "You need to improve more"
224 "You need to improve more"
225 "You need to improve more"
226 "You need to improve more"
227 "You need to improve more"
228 "You need to improve more"
229 "You need to improve more"
230 "You need to improve more"
231 "You need to improve more"
232 "You need to improve more"
233 "You need to improve more"
234 "You need to improve more"
235 "You need to improve more"
236 "You need to improve more"
237 "You need to improve more"
238 "You need to improve more"
239 "You need to improve more"
240 "You need to improve more"
241 "You need to improve more"
242 "You need to improve more"
243 "You need to improve more"
244 "You need to improve more"
245 "You need to improve more"
246 "You need to improve more"
247 "You need to improve more"
248 "You need to improve more"
249 "You need to improve more"
250 "You need to improve more"
251 "Miss MIss , Come back later"
252 "Miss MIss , Come back later"
253 "Miss MIss , Come back later"
254 "Miss MIss , Come back later"
255 "Miss MIss , Come back later"
256 "Miss MIss , Come back later"
257 "Miss MIss , Come back later"
258 "Miss MIss , Come back later"
259 "Miss MIss , Come back later"
260 "Miss MIss , Come back later"
261 "Miss MIss , Come back later"
262 "Miss MIss , Come back later"
263 "Miss MIss , Come back later"
264 "Miss MIss , Come back later"
265 "Miss MIss , Come back later"
266 "Miss MIss , Come back later"
267 "Miss MIss , Come back later"
268 "Miss MIss , Come back later"
269 "Miss MIss , Come back later"
270 "Miss MIss , Come back later"
271 "Miss MIss , Come back later"
272 "Miss MIss , Come back later"
273 "Miss MIss , Come back later"
274 "Miss MIss , Come back later"
275 "Miss MIss , Come back later"
276 "Miss MIss , Come back later"
277 "Miss MIss , Come back later"
278 "Miss MIss , Come back later"
279 "Miss MIss , Come back later"
280 "Miss MIss , Come back later"
281 "Miss MIss , Come back later"
282 "Miss MIss , Come back later"
283 "Miss MIss , Come back later"
284 "Miss MIss , Come back later"
285 "Miss MIss , Come back later"
286 "Miss MIss , Come back later"
287 "Miss MIss , Come back later"
288 "Miss MIss , Come back later"
289 "Miss MIss , Come back later"
290 "Miss MIss , Come back later"
291 "I am the master and ruler"
292 "I am the master and ruler"
293 "I am the master and ruler"
294 "I am the master and ruler"
295 "I am the master and ruler"
296 "I am the master and ruler"
297 "I am the master and ruler"
298 "I am the master and ruler"
299 "I am the master and ruler"
300 "I am the master and ruler"
301 "Your soul has been claimed by me!"
302 "Your soul has been claimed by me!"
303 "Your soul has been claimed by me!"
304 "Your soul has been claimed by me!"
305 "Your soul has been claimed by me!"
306 "Your soul has been claimed by me!"
307 "Your soul has been claimed by me!"
308 "Your soul has been claimed by me!"
309 "Your soul has been claimed by me!"
310 "Your soul has been claimed by me!"
311 "Your soul has been claimed by me!"
312 "Your soul has been claimed by me!"
313 "Your soul has been claimed by me!"
314 "Your soul has been claimed by me!"
315 "Your soul has been claimed by me!"
316 "Your soul has been claimed by me!"
317 "Your soul has been claimed by me!"
318 "Your soul has been claimed by me!"
320 "Your soul has been claimed by me!"
321 "Your soul has been claimed by me!"
322 "Your soul has been claimed by me!"
323 "Your soul has been claimed by me!"
324 "Your soul has been claimed by me!"
325 "Your soul has been claimed by me!"
326 "Your soul has been claimed by me!"
327 "Your soul has been claimed by me!"
328 "Your soul has been claimed by me!"
329 "Your soul has been claimed by me!"
330 "Your soul has been claimed by me!"
331 "Your soul has been claimed by me!"
332 "Your soul has been claimed by me!"
333 "Your soul has been claimed by me!"
334 "You have met your demise by my hand"
335 "You have met your demise by my hand"
336 "You have met your demise by my hand"
337 "You have met your demise by my hand"
338 "You have met your demise by my hand"
339 "You have met your demise by my hand"
340 "You have met your demise by my hand"
341 "You have met your demise by my hand"
342 "You have met your demise by my hand"
343 "I'm Golden Moster You Are Dead"
344 "You have met your demise by my hand"
345 "You have met your demise by my hand"
346 "You have met your demise by my hand"
347 "You have met your demise by my hand"
348 "You have met your demise by my hand"
349 "You have met your demise by my hand"
350 "You have met your demise by my hand"
351 "You have met your demise by my hand"
352 "You have met your demise by my hand"
353 "I'm Golden Moster You Are Dead"
354 "I'm Golden Moster You Are Dead"
355 "You have met your demise by my hand"
356 "You have met your demise by my hand"
357 "You have met your demise by my hand"
358 "You have met your demise by my hand"
359 "You have met your demise by my hand"
360 "You have met your demise by my hand"
361 "You have met your demise by my hand"
362 "You have met your demise by my hand"
363 "Next time we do not approach"
364 "Next time we do not approach"
365 "Next time we do not approach"
366 "Next time we do not approach"
367 "Next time we do not approach"
368 "Next time we do not approach"
369 "Next time we do not approach"
370 "Next time we do not approach"
371 "Next time we do not approach"
372 "Next time we do not approach"
373 "Next time we do not approach"
374 "Next time we do not approach"
375 "Next time we do not approach"
376 "Next time we do not approach"
377 "Next time we do not approach"
378 "I'm Golden Moster You Are Dead"
379 "I'm Golden Moster You Are Dead"
380 "I'm Golden Moster You Are Dead"
381 "I'm Golden Moster You Are Dead"
382 "I'm Golden Moster You Are Dead"
383 "I'm Golden Moster You Are Dead"
384 "Now you will have a lesson"
385 "Now you will have a lesson"
386 "Now you will have a lesson"
387 "Now you will have a lesson"
388 "Now you will have a lesson"
389 "Now you will have a lesson"
390 "Now you will have a lesson"
391 "Now you will have a lesson"
392 "Now you will have a lesson"
393 "Now you will have a lesson"
394 "Now you will have a lesson"
395 "Now you will have a lesson"
396 "Now you will have a lesson"
397 "Now you will have a lesson"
398 "Now you will have a lesson"
399 "Now you will have a lesson"
400 "Now you will have a lesson"
401 "Now you will have a lesson"
402 "Now you will have a lesson"
403 "Now you will have a lesson"
404 "Now you will have a lesson"
405 "Now you will have a lesson"
406 "Now you will have a lesson"
407 "Now you will have a lesson"
408 "Now you will have a lesson"
409 "Now you will have a lesson"
410 "Now you will have a lesson"
411 "Now you will have a lesson"
412 "Now you will have a lesson"
413 "Now you will have a lesson"
414 "Now you will have a lesson"
415 "Now you will have a lesson"
416 "Now you will have a lesson"
417 "Now you will have a lesson"
418 "You need to improve more"
419 "You need to improve more"
420 "You need to improve more"
421 "You need to improve more"
422 "You need to improve more"
423 "You need to improve more"
424 "You need to improve more"
425 "You need to improve more"
426 "You need to improve more"
427 "You need to improve more"
428 "You need to improve more"
429 "You need to improve more"
430 "You need to improve more"
431 "You need to improve more"
432 "You need to improve more"
433 "You need to improve more"
434 "You need to improve more"
435 "You need to improve more"
436 "You need to improve more"
437 "You need to improve more"
438 "You need to improve more"
439 "You need to improve more"
440 "You need to improve more"
441 "You need to improve more"
442 "You need to improve more"
443 "You need to improve more"
444 "You need to improve more"
445 "You need to improve more"
446 "You need to improve more"
447 "You need to improve more"
448 "You need to improve more"
449 "You need to improve more"
450 "You need to improve more"
451 "Miss MIss , Come back later"
452 "Miss MIss , Come back later"
453 "Miss MIss , Come back later"
454 "Miss MIss , Come back later"
455 "Miss MIss , Come back later"
456 "Miss MIss , Come back later"
457 "Miss MIss , Come back later"
458 "Miss MIss , Come back later"
459 "Miss MIss , Come back later"
460 "Miss MIss , Come back later"
461 "Miss MIss , Come back later"
462 "Miss MIss , Come back later"
463 "Miss MIss , Come back later"
464 "Miss MIss , Come back later"
465 "Miss MIss , Come back later"
466 "Miss MIss , Come back later"
467 "Miss MIss , Come back later"
468 "Miss MIss , Come back later"
469 "Miss MIss , Come back later"
470 "Miss MIss , Come back later"
471 "Miss MIss , Come back later"
472 "Miss MIss , Come back later"
473 "Miss MIss , Come back later"
474 "Miss MIss , Come back later"
475 "Miss MIss , Come back later"
476 "Miss MIss , Come back later"
477 "Miss MIss , Come back later"
478 "Miss MIss , Come back later"
479 "Miss MIss , Come back later"
480 "Miss MIss , Come back later"
481 "Miss MIss , Come back later"
482 "Miss MIss , Come back later"
483 "Miss MIss , Come back later"
484 "Miss MIss , Come back later"
485 "Miss MIss , Come back later"
486 "Miss MIss , Come back later"
487 "Miss MIss , Come back later"
488 "Miss MIss , Come back later"
489 "Miss MIss , Come back later"
490 "Miss MIss , Come back later"
491 "I am the master and ruler"
492 "I am the master and ruler"
493 "I am the master and ruler"
494 "I am the master and ruler"
495 "I am the master and ruler"
496 "I am the master and ruler"
497 "I am the master and ruler"
498 "I am the master and ruler"
499 "I am the master and ruler"
500 "I am the master and ruler"
501 "Your soul has been claimed by me!"
502 "Your soul has been claimed by me!"
503 "Your soul has been claimed by me!"
504 "Your soul has been claimed by me!"
505 "Your soul has been claimed by me!"
506 "Your soul has been claimed by me!"
507 "Your soul has been claimed by me!"
508 "Your soul has been claimed by me!"
509 "Your soul has been claimed by me!"
510 "Your soul has been claimed by me!"
511 "Your soul has been claimed by me!"
512 "Your soul has been claimed by me!"
513 "Your soul has been claimed by me!"
514 "Your soul has been claimed by me!"
515 "Your soul has been claimed by me!"
516 "Your soul has been claimed by me!"
517 "Your soul has been claimed by me!"
518 "Your soul has been claimed by me!"
520 "Your soul has been claimed by me!"
521 "Your soul has been claimed by me!"
522 "Your soul has been claimed by me!"
523 "Your soul has been claimed by me!"
524 "Your soul has been claimed by me!"
525 "Your soul has been claimed by me!"
526 "Your soul has been claimed by me!"
527 "Your soul has been claimed by me!"
528 "Your soul has been claimed by me!"
529 "Your soul has been claimed by me!"
530 "Your soul has been claimed by me!"
531 "Your soul has been claimed by me!"
532 "Your soul has been claimed by me!"
533 "Your soul has been claimed by me!"
534 "You have met your demise by my hand"
535 "You have met your demise by my hand"
536 "You have met your demise by my hand"
537 "You have met your demise by my hand"
538 "You have met your demise by my hand"
539 "You have met your demise by my hand"
540 "You have met your demise by my hand"
541 "You have met your demise by my hand"
542 "You have met your demise by my hand"
543 "I'm Golden Moster You Are Dead"
544 "You have met your demise by my hand"
545 "You have met your demise by my hand"
546 "You have met your demise by my hand"
547 "You have met your demise by my hand"
548 "You have met your demise by my hand"
549 "You have met your demise by my hand"
550 "You have met your demise by my hand"
551 "You have met your demise by my hand"
552 "You have met your demise by my hand"
553 "I'm Golden Moster You Are Dead"
554 "I'm Golden Moster You Are Dead"
555 "You have met your demise by my hand"
556 "You have met your demise by my hand"
557 "You have met your demise by my hand"
558 "You have met your demise by my hand"
559 "You have met your demise by my hand"
560 "You have met your demise by my hand"
561 "You have met your demise by my hand"
562 "You have met your demise by my hand"
563 "Next time we do not approach"
564 "Next time we do not approach"
565 "Next time we do not approach"
566 "Next time we do not approach"
567 "Next time we do not approach"
568 "Next time we do not approach"
569 "Next time we do not approach"
570 "Next time we do not approach"
571 "Next time we do not approach"
572 "Next time we do not approach"
573 "Next time we do not approach"
574 "Next time we do not approach"
575 "Next time we do not approach"
576 "Next time we do not approach"
577 "Next time we do not approach"
578 "I'm Golden Moster You Are Dead"
579 "I'm Golden Moster You Are Dead"
end 
