//Index   Rate   Name                                 Level   MaxLife   MaxMana   DamageMin   DamageMax   Defense   MagicDefense   AttackRate   DefenseRate   MoveRange   AttackType   AttackRange   ViewRange   MoveSpeed   AttackSpeed   RegenTime   Attribute   ItemRate   MoneyRate   MaxItemLevel   MonsterSkill   Resistance1   Resistance2   Resistance3   Resistance4
40        1      "Death Knight"                       60      5500      0         190         200         120       0              310          91            3           0            1             7           400         1800          03          2           200        46          3              0              6             6             6             7
41        1      "Death Cow"                          57      4500      0         170         180         110       0              285          85            3           0            1             7           400         1600          03          2           200        46          3              0              5             5             5             7
42  	  1	     "Red Dragon"			              47      5000   	0	      300	      350	      230	    0	           200	        80	          3	          150	       5	         7	         800	     2000	        03          2	   100	      0	          4	         0	        100	      254	    100	          100
43        1      "Golden Budge Dragon"                15      2200      0         120         125         45        0              75           30            3           0            1             7           400         1400          03          2           10         20          0              0              2             2             2             2
44        1      "Dragon"                             60      15000     0         190         210         120       0              300          88            3           150          2             7           400         1800          03          2           50         20          0              0              9             7             9             9
45        1      "Bahamut"                            43      2400      0         130         140         65        0              215          52            2           0            1             4           400         1600          03          2           185        28          3              0              1             1             1             1
46        1      "Vepar"                              45      2800      0         135         145         70        0              225          58            3           17           4             7           400         1600          03          2           185        28          3              0              2             2             3             2
47        1      "Valkyrie"                           46      3200      0         140         150         75        0              230          64            3           0            5             7           400         1800          03          2           185        28          3              0              6             2             2             2
48        1      "Lizard King"                        70      9000      0         240         270         180       0              350          115           3           3            3             7           400         1600          03          2           175        46          3              0              7             7             7             7
49        1      "Hydra"                              74      25000     0         450         310         200       0              430          125           3           150          4             7           400         1400          3600       2           175        46          3              0              12            12            12            12
//Index   Rate   Name                                 Level   MaxLife   MaxMana   DamageMin   DamageMax   Defense   MagicDefense   AttackRate   DefenseRate   MoveRange   AttackType   AttackRange   ViewRange   MoveSpeed   AttackSpeed   RegenTime   Attribute   ItemRate   MoneyRate   MaxItemLevel   MonsterSkill   Resistance1   Resistance2   Resistance3   Resistance4
51        1      "Great Bahamut"                      66      7000      0         210         230         150       0              330          98            3           0            2             7           400         1600          03          2           175        46          3              0              6             6             6             6
52        1      "Silver Valkyrie"                    68      8000      0         230         260         170       0              340          110           3           7            4             7           400         1600          03          2           175        46          3              0              7             7             7             7
53        1      "Golden Titan"                       53      10000      0         170         180         500       0              265          77            3           150          3             7           400         2000          03          2           200        28          3              0              5             5             5             5
54        1      "Golden Soldier"                     46      3500      0         140         150         75        0              230          64            3           0            5             7           400         1800          03          2           200        28          3              0              3             3             3             3
55        1      "Death King"                         30      1800      0         105         110         37        0              150          37            2           0            2             6           400         1800          03          2           200        28          3              0              2             2             2             2
56        1      "Death Bone"                         24      700       0         85          90          29        0              120          29            3           0            1             5           400         1600          03          2           200        28          4              0              1             1             1             1
57        1      "Iron Wheel"                         80      17000     0         280         330         215       0              446          150           3           0            4             7           400         1400          03          2           160        100         3              0              9             9             9             9
58        1      "Tantalos"                           83      22000     0         335         385         250       0              500          175           3           150          2             7           400         1400          03          2           160        100         3              0              9             9             9             9
59        1      "Zaikan"                             90      30000     0         510         590         400       0              550          185           3           150          5             7           400         1400          21600       2           160        100         3              0              13            13            13            15
60        1      "Bloody wolf"                        76      13500     0         260         300         200       0              410          130           3           0            2             7           400         1400          03          2           170        100         3              0              8             8             8             8
61        1      "Beam Knight"                        84      25000     0         375         425         275       0              530          190           3           17           4             7           400         1400          03          2           160        100         3              0              10            10            10            10
62        1      "Mutant"                             72      10000     0         250         280         190       0              365          120           3           0            1             7           400         1400          03          2           170        100         3              0              8             8             8             8
63        1      "Death Beam Knight"                  93      40000     0         590         650         420       0              575          220           3           150          5             7           400         1400          300         2           130        100         3              0              13            13            13            17
64        1      "Ogre archer"                        70      10000     0         220         250         170       0              350          115           3           0            4             7           400         1600          03          2           200        28          3              0              7             7             7             7
65        1      "Elite Ogre"                         74      14000     0         260         290         190       0              400          125           3           150          1             7           400         2000          03          2           180        28          3              0              8             8             8             8
66        1      "Cursed king"                        86      38000     0         500         570         350       0              525          200           3           150          4             7           400         1400          03          2           200        60          3              0              17            17            17            17
67        1      "Metal Balrog"                       77      26000     0         300         360         220       0              385          150           3           150          2             7           400         1600          03         2           160        28          3              0              9             9             9             9
69        1      "Alquamos"                           75      11500     0         255         290         195       0              385          125           3           17           5             5           400         1400          03          2           160        46          3              0              9             9             11            9
70        1      "Queen Rainier"                      82      19000     0         305         350         230       0              475          160           3           17           3             5           400         1400          03          2           160        46          3              0              9             11            12            9
71        1      "Mega Crust"                         78      15000     0         270         320         210       0              430          140           3           0            1             5           400         1400          03          2           160        46          3              0              9             9             12            9
72        1      "Phantom Knight"                     96      410000     0         1560         1610         300       0              690          270           3           150          2             5           400         1400          03          2           150        46          3              0              14            14            16            14
73        1      "Drakan"                             86      29000     0         425         480         305       0              570          210           3           150          5             5           400         1400          03          2           160        46          3              0              12            12            13            12
74        1      "Alpha Crust"                        92      50000      0         1489         1540         300       0              620          240           3           0            1             5           400         1400          03          2           160        46          3              0              13            13            14            13
75        1      "Great Drakan"                       100     150000     0         1650         1700         300       0              800          305           3           150          5             5           400         1400          03          2           140        46          3              0              15            15            17            18
76        1      "Phoenix Darkness shield"            106     230000     0         1850         1960         650       0              840          305           3           3            3             5           400         1400          03          2           190        28          3              0              30            30            35            30
77        1      "Phoenix of Darkness"                108     280000     0         1950         2500        680       0              900          350           1           150          6             7           400         1500          180         2           120        46          4              0              30            30            35            30
78        1      "Golden Goblin"                      20      200000      0         1250         1300         50        0              100          30            3           0            1             7           400         1400          180         2           10         20          0              0              2             2             2             2
79        1      "Golden Derkon"                      80      900000     0         1000         1000         600       0              400          90            3           150          2             7           400         1800          03          2           50         20          0              0              9             7             9             9
80        1      "Golden Lizard King"                 83      300000     0         1000         1000         600       0              415          150           3           3            3             7           400         1600          03          2           175        28          3              0              9             7             9             9
81        1      "Golden Vepar"                       61      230000      0         1000         1000         600       0              310          90            3           17           4             7           400         1600          03          2           185        28          3              0              0             0             3             0
82        1      "Golden Tantalos"                    90      500000     0         1450         1560         600       0              450          185           3           150          2             7           400         1400          03          2           180        60          3              0              9             7             9             9
83        1      "Golden Wheel"                       77      400000     0         1000         1000         600       0              385          160           3           0            4             7           400         1400          03          2           180        60          3              0              9             7             9             9
84        1      "Chief Skeleton Warrior"             33      1100      0         100         120         55        0              190          45            3           0            1             3           400         2000          03          2           300        400         3              0              0             0             0             0
85        1      "Chief Skeleton Archer"              37      1400      0         110         130         65        0              210          49            3           0            5             7           400         1600          03          2           300        400         3              0              0             0             0             0
86        1      "Dark Skull Soldier"                 41      1700      0         120         140         75        0              230          61            3           0            1             3           400         2000          03          2           250        300         3              0              0             0             0             0
87        1      "Giant Ogre"                         44      2100      0         130         150         85        0              250          73            3           17           5             7           400         1600          03          2           250        300         3              0              0             0             0             0
88        1      "Red Skeleton Knight"                47      2800      0         140         160         95        0              270          77            3           0            1             3           400         2000          03          2           200        200         3              0              0             0             0             0
89        1      "Magic Skeleton"                     51      3700      0         150         180         115       0              300          88            4           150          4             6           400         1600          03          2           150        100         4              0              3             3             3             3
90        1      "Chief Skeleton Warrior"             49      3500      0         140         170         90        0              250          76            3           0            1             3           400         2000          03          2           300        400         3              0              1             1             1             1
91        1      "Chief Skeleton Archer"              53      4100      0         150         180         100       0              275          80            3           0            5             7           400         1600          03          2           300        400         3              0              1             1             1             1
92        1      "Dark Skull Soldier"                 56      5000      0         160         190         115       0              300          88            3           0            1             3           400         2000          03          2           250        300         3              0              1             1             1             1
93        1      "Giant Ogre"                         60      6000      0         175         210         130       0              320          95            3           17           5             7           400         1600          03          2           250        300         3              0              1             1             1             1
94        1      "Red Skeleton Knight"                64      7000      0         185         220         170       0              360          110           3           0            1             3           400         2000          03          2           200        200         3              0              1             1             1             1
95        1      "Magic Skeleton"                     69      8000      0         200         240         190       0              400          130           4           150          4             6           400         1800          03          2           150        100         4              0              4             4             4             4
96        1      "Chief Skeleton Warrior"             56      5000      0         160         180         110       0              300          85            3           0            1             3           400         2000          03          2           300        400         3              0              2             2             2             2
97        1      "Chief Skeleton Archer"              61      6500      0         180         200         120       0              330          93            3           0            5             7           400         1600          03          2           300        400         3              0              2             2             2             2
98        1      "Dark Skull Soldier"                 66      8000      0         190         220         150       0              360          98            3           0            1             3           400         2000          03          2           250        300         3              0              2             2             2             2
99        1      "Giant Ogre"                         70      9500      0         210         240         180       0              400          115           3           17           5             7           400         1600          03          2           250        300         3              0              2             2             2             2
//Index   Rate   Name                                 Level   MaxLife   MaxMana   DamageMin   DamageMax   Defense   MagicDefense   AttackRate   DefenseRate   MoveRange   AttackType   AttackRange   ViewRange   MoveSpeed   AttackSpeed   RegenTime   Attribute   ItemRate   MoneyRate   MaxItemLevel   MonsterSkill   Resistance1   Resistance2   Resistance3   Resistance4
100       1      "Lance"                              80      1000      0         100         110         0         0              400          500           0           0            4             1           500         1000          03          1           200        20          0              0              0             0             0             0
101       1      "Iron Stick"                         80      1000      0         110         130         0         0              400          500           0           0            0             1           500         1000          03          1           200        20          0              0              0             0             0             0
102       1      "Fire"                               80      1000      0         130         150         0         0              400          500           0           0            2             1           500         1000          03          1           200        20          0              0              0             0             0             0
103       1      "Meteorite"                          90      1000      0         160         190         0         0              450          500           0           50           0             1           500         1000          03          1           200        20          0              0              0             0             0             0
104       1      "Trap"                               2       50        0         500         600         0         0              800          30            0           50           0             1           0           1000          0           0           0          0           0              0              0             0             0             0
105       1      "Canon Trap"                         80      1000      0         200         203         0         0              400          500           0           0            4             2           500         1000          03          1           200        10          0              0              0             0             0             0
106       1      "Laser Trap"                         80      1000      0         150         152         0         0              400          500           0           0            1             1           500         1000          03          1           200        10          0              0              0             0             0             0
111       1      "Red Skeleton Knight"                74      12000     0         220         260         190       0              440          130           3           0            1             3           400         2000          03          2           200        200         3              0              2             2             2             2
112       1      "Magic Skeleton"                     79      15000     0         230         280         240       0              500          180           4           150          4             6           400         1800          03          2           150        100         4              0              5             5             5             5
113       1      "Chief Skeleton Warrior"             64      7500      0         180         220         150       0              340          98            3           0            1             3           400         2000          03          2           300        400         3              0              4             4             4             4
114       1      "Chief Skeleton Archer"              69      9500      0         200         240         170       0              380          110           3           0            5             7           400         1600          03          2           300        400         3              0              4             4             4             4
115       1      "Dark Skull Soldier"                 75      12000     0         220         260         190       0              440          130           3           0            1             3           400         2000          03          2           250        300         3              0              4             4             4             4
116       1      "Giant Ogre"                         79      15000     0         250         290         210       0              500          150           3           17           5             7           400         1600          03          2           250        300         3              0              4             4             4             4
117       1      "Red Skeleton Knight"                82      18000     0         270         320         300       0              560          170           3           0            1             3           400         2000          03          2           200        200         3              0              4             4             4             4
118       1      "Magic Skeleton"                     84      24000     0         300         350         300       0              640          200           4           150          4             6           400         1800          03          2           150        100         4              0              7             7             7             7
119       1      "Chief Skeleton Warrior"             70      12000     0         210         270         185       0              380          125           3           0            1             3           400         2000          03          2           300        400         3              0              5             5             5             5
120       1      "Chief Skeleton Archer"              75      15000     0         240         300         190       0              420          130           3           0            5             7           400         1600          03          2           300        400         3              0              5             5             5             5
121       1      "Dark Skull Soldier"                 80      19000     0         280         340         220       0              470          175           3           0            1             3           400         2000          03          2           250        300         3              0              5             5             5             5
122       1      "Giant Ogre"                         85      23000     0         340         390         300       0              520          190           3           17           5             7           400         1600          03          2           250        300         3              0              5             5             5             5
123       1      "Red Skeleton Knight"                87      26000     0         370         410         300       0              650          200           3           0            1             3           400         2000          03          2           200        200         3              0              5             5             5             5
124       1      "Magic Skeleton"                     90      120000     0         1400         1460         300       0              720          260           4           150          4             6           400         1800          03          2           150        100         4              0              8             8             8             8
125       1      "Chief Skeleton Warrior"             76      17000     0         260         290         210       0              460          150           3           0            1             3           400         2000          03          2           300        400         3              0              6             6             6             6
126       1      "Chief Skeleton Archer"              81      20000     0         320         350         270       0              520          160           3           0            5             7           400         1600          03          2           300        400         3              0              6             6             6             6
127       1      "Dark Skull Soldier"                 86      25000     0         390         420         300       0              580          195           3           0            1             3           400         2000          03          2           250        300         3              0              6             6             6             6
128       1      "Giant Ogre"                         90      220000     0         1440        1500         300       0              660          230           3           17           5             7           400         1600          03          2           250        300         3              0              6             6             6             6
129       1      "Red Skeleton Knight"                94      250000     0         1480        1540         300       0              720          260           3           0            1             3           400         2000          03          2           200        200         3              0              6             6             6             6
130       1      "Magic Skeleton"                     99      280000     0         1530        1580         300       0              840          280           4           150          4             6           400         1800          03          2           150        100         4              0              9             9             9             9
